"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Brunei Darussalam","BRN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","293.97005","285.35738","291.27185","","","","","","","","","","","","","","","","","","506.18125","","",
"Bhutan","BTN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","168.08972","179.77334","","","","","","","","","","","",
"Central African Republic","CAF","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3055.67247","3114.23872","3153.03798","3238.35328","3510.48256","3688.26825","3695.33994","3888.4744","4076.68444","4234.36344","4315.13916","4596.69506","4725.99112","4466.14043","4664.07888","4802.7188","4652.42914","4647.61399","4564.22043","4545.96875","4400.49278","4429.05796","4715.91861","4850.93689","5155.65021","5411.82682","","","",
"Central Europe and the Baltics","CEB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1410.6136447341","1399.05654958344","1408.71561554187","1384.27870483453","1377.07852720069","1391.74805486875","1412.75615577233","1424.62430506076","1494.20179041627","1613.70002900392","1620.8824865457","1685.44596635355","1751.04927639105","1767.59924725686","1839.07179130886","1853.73361686531","1926.05782834838","2001.90286415388","2108.06478546315","2146.74488072421","2239.72613725369","2563.30148952353","2746.40178336029","2843.83022348261","2956.41895157371","3147.71702963511","3296.66244307403","","",
"Switzerland","CHE","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3130.03604","","","","3643.69175","","","","3451.74588","","","","3313.52642","","","","4497.48676","","","5308.73305","","5257.33424","","5561.73019","","6021.39855","","","",
"Channel Islands","CHI","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","334.61639","355.67666","287.11073","318.2091","352.01898","389.87508","334.78846","426.80476","455.29183","495.36438","494.62971","523.65457","507.31033","515.32026","638.83802","","","",
"China","CHN","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","447.0994","476.21305","389.62565","422.97614","549.57477","582.78825","631.73478","667.9285","713.42588","856.65892","931.20148","1076.73747","1197.58885","861.24883","898.85545","972.01743","1028.98334","1079.63795","1101.80087","1162.7108","1208.86205","1235.84935","1317.48914","1483.85803","1600.30633","1685.97511","1849.23669","","",
"Cote d'Ivoire","CIV","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.99303","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.10515","","","","","","","","","",
"Congo, Rep.","COG","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.92475","49.73577","41.31475","36.82931","33.11951","","","","","","","","","","","","","","","","","","","","","","126.96941","","",
"Colombia","COL","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.0547","59.05478","70.66931","91.2603","90.24729","","","","","","","",
"Comoros","COM","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.50987","129.37196","","","","","","","","","48.91143","","","124.92558","","","","","","","","","","",
"Costa Rica","CRI","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","133.40471","110.07807","124.52761","","","264.17779","343.38493","385.92478","410.68891","340.94423","359.00481","574.91761","500.97138","531.44617","385.02378","349.49117","","371.97029","406.58119","462.47421","","",
"Caribbean small states","CSS","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2053.96588","2136.67708","2121.90949","2099.70203","2079.08182","1968.33703","",
"Curacao","CUW","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","349.5183","407.11007","438.81436","477.38582","616.5499","686.54374","806.48173","930.33788","1005.35878","1054.20653","1038.21427","1095.4538","1104.81725","1091.99036","1022.02872","1026.70353","1051.28205","1010.61619","1058.56405","1209.63685","1408.18017","1657.72538","1739.85507","1743.06674","1727.63497","","",
"Czechia","CZE","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1258.0318","1222.7761","1223.32114","1319.35303","1352.21409","1465.05243","1463.13284","1543.13456","1589.73189","2353.41029","2552.57872","2701.68545","2876.01839","2765.27088","2799.12504","2925.87928","3162.1117","3260.83143","3428.30846","3619.16017","3546.92776","3718.34571","3906.6782","4027.58714","4187.18471","4560.45106","4696.68437","","",
"Germany","DEU","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2801.62099","2862.8306","2884.30523","3120.9","3154.48437","3230.26868","3240.75467","3275.18656","3290.96185","3315.75626","3411.78697","3573.67338","3726.67445","3916.78276","4056.42386","4191.51741","4355.567","4380.38742","4336.01915","4755.29531","4839.84645","5058.39528","5209.2143","5398.63462","5390.05249","5520.57631","5787.44181","","",
"Djibouti","DJI","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3180.15253","3319.53904","","3565.39014","","3636.56281","4758.77798","4621.86049","4847.79783","5207.24681","5314.72934","5539.33467","6519.6824","6674.9003","6763.58309","7045.77406","7181.8507","7115.41931","7358.18842","7566.45783","7852.0565","7647.61749","7597.52556","7693.54905","7651.2843","7708.2373","8735.60064","","",
